Id,Label,Size
38,"I have a VPS set up with Ubuntu 1004 running exim4 as the MTA  The machine name itself is something easily recognizable to us in this case 'Fermat' but the machine itself is responsible for serving up one of our domains ie wwwexamplecom  When generating an email from exim the email headers are reporting the server name Fermat instead of the domain name examplecom  Is there a way to 'force' exim to report the server name as examplecom without changing the machine's host name ",15
41,"How does one reset the gnome panel to the initial state  During use gnome panel applets move and get replaced with the ones users like After some time the panel becomes so cluttered that it requires a cleanup The easiest way would be to reset the panel to the original state that it was in after install Is there an easy way of doing that ",78
47,"I'm using Kubuntu Karmic and KATE is my favorite editor I don't enable many plug ins but I really like the inline shell   The problem is across re starts KATE seems to forget that I enabled this plug in I've checked across all sessions and the behavior is the same   Is there some easy way to fix this ",11
50,"Is there a way to change how long the libnotify notifications last I've googled around for this for months and no still no luck   I'm actually starting to think that you can't change it I can't even find anywhere in the API where developers can control this ",28
51,"For some reason sometimes when I log in the top panel applets appear garbled For instance the session applet is missing its icon and the current username is repeated twice This doesn't happen very often but when it does the session applet is not responsive so I can't get to the log out menu option  Is there any other way to log off the current user other than using the non working session applet ",23
53,"I take photos from time to time and if I take an exceptionally beautiful one I'd like to submit it for inclusion in Ubuntu Where do I send upload it ",35
56,"I recently deployed about a dozen Ubuntu Karmic desktops in a small office Everything was going great but storage became an issue I then moved  home to an NFS mount which solved the immediate problem  Months later I'm regretting this The company is extremely disorganized with high turnover people never stay at the same desk for long and now I have 12 machines that anyone needs to access at any given time This gets crazy with conflicting UID GID's as well  I'd like to just use LDAP and make the problem go away The issue is they want to be self sufficient so I need some easy way for the office administrator to manage users Preferably something GUI driven and simple intuitive to use  What are my options ",12
58,"There is currently 2 clocks on my panel one in the Indicator Applet and one in the Clock  The one in the Indicator Applet is redundant and isn't as good as the Clock  Does anyone know how to get rid of the clock in the Indicator Applet ",20
61,"I have added Empathy to the list of applications that open by default and it's configured to auto connect to MSN  when started but when I login to my laptop the wifi connection takes a few seconds to be ready Before the net is up Empathy has already started tried to login to MSN and failed and I can't get it to connect after that   This seems to be a bug in Empathy but how can I get a fix for it or if not possible how can I delay its start until the network is up ",14
66,"I am running 804 desktop as a server and hosting my own web server has anyone experienced any issues with upgrade from 804 to 1004 ",39
67,"I have a lovely Vim colorscheme xoria256 and it looks brilliant in GVim but when I use normal vim in Terminal the colorscheme is only partially supported    for example the default semi transparent aubergine background color is used How do I make Terminal faithfully render my Vim colorscheme ",235
69,"I work with multiple computers for various reasons I want to keep those computers in sync configuration wise I already have a VCS based setup that allows me to manually update configurations on multiple hosts But i'm looking for a way to do this automatically  What I'm looking for is   A way to sync configuration vim ssh evolution keeping certain directories in sync like ~ Documents   This is all user configuration and not system configuration At times the workstation can be offline or behind a slow link so being able to detect that and act accordingly is a plus ",29
72,"I am using my machine with multiple accounts logged in at the same time I am using KDM desktop manager and KDE desktop Ever since I upgraded to Karmic when using one user the second user who is active on another virtual terminal gets logged out automatically I have looked through the logs and can't find anything that would cause this   What should I be looking into to figure it out Is there some sort of feature that was turned on through the upgrades the machine has been through many releases ",10
76,"I know Ubuntu Kubuntu has several programs that can be used to install packages such as apt get aptitude and synaptic and perhaps others What are the differences between them and which one is the recommended choice for normal day to day package management  This is a basic question but I think it'd be good information to have on the site and besides I am relatively new to Ubuntu so I could use an expert explanation ",288
80,"I'd like to have a Gmail notification service in my Epiphany indicator applet without leaving Evolution open in the background all the time  Right now I only get notifications if Evolution is open  Strangely this is not the case with Google calendars in Evolution    evolution can be closed yet I still get applet notifications through the clock calendar applet ",50
82,"I have just installed a 1004 LTS on my development server but the system that I need to run on it Magento ecommerce is not compatible with PHP 53 which ships with the newest version of Ubuntu Is there a safe and upgrade proof way of getting PHP 52 installed or will it be easier to use an older version of Ubuntu ",32
83,"Can you explain briefly the main concepts and command line tools used to manage file permissions ",54
86,"I'd like to create a live USB stick on a Mac so I can install Ubuntu on another machine How do accomplish this ",70
93,"I'd like to create an interactive media experience powered by Ubuntu incorporating projected video music and assorted strange input devices Has anyone used Ubuntu to orchestrate something like this Can you recommend any specific software hardware ",11
94,"   Possible Duplicate   Is there any Sound enhancers equalizer       I often want to tweak the sound quality but have found no other way than to install plugins for each piece of software Unfortunately this is not available for all the apps I use eg Spotify  Is there a way to install a system wide equalizer on Ubuntu ",8
95,"I have messed up my ruby dev environment on Ubuntu 1004  I need to install Ruby this time using RVM What is the best possible way to remove   Ruby All Gems RubyGems   From my machine so that I can start fresh with RVM ",50
96,"I have been playing with package management by adding sources from older Ubuntu releases in order to get older versions of some software eg PHP Unfortunately at some point I must have overdid it as now every attempt to use apt get or synaptic ends in an error message being displayed saying that there is no candidate available to install  I would like to start fresh   remove all the installed packages and added sources Is there a quick way to do this or do I need to reinstall the OS ",24
99,"  I've been waiting for a couple years to be able to do an apt get install haskell platform on Ubuntu Will a haskell platform package be available on Ubuntu 1010 ",14
100,"I was playing music with my headphones plugged in The music was coming out of the headphones but I also noticed that my speakers were playing the same music  Why is this and how can I fix it ",35
108,"I have reported a bug that occurs in Karmic on launchpad and I have been asked to re test it on lucid or maverick How can I do this best  ",38
111,"I would like to secure my server and it seems that IPtables is one of the first steps Unfortunately editing the rules in a terminal is a bit complicated and dangerous those who ever did an iptables  F will know what I mean   Could you recommend any good graphical interfaces for managing my IPtables rules ",55
112,"Of those identd daemons available in Ubuntu 1004 can any of them be made to work with IPv6  If so a nudge in the right direction regarding how to configure the IPv6 support would be nice ",12
116,"I've downloaded some nice themes icon packages and pointers from sites like gnome look Now what do I do  Where else can I get these kinds of things ",64
120,"After upgrading my laptop from karmic to lucid my fat32 partition won't mount automatically I get the message  The disk drive for  osshare is not ready yet or not present Continue to wait or Press S to skip mounting or M for manual recovery   Funny thing is if I skip then  osshare  is mounted once I log in   I've a similar setup on my desktop and it works fine Fstab on desktop  UUID=4663 6853   osshare        vfat    utf8umask=007gid=46 0       1    etc fstab on laptop  UUID=1234 5678  osshare vfat utf8autorwuser 0 0   ",113
127,"I'd like to get involved with Ubuntu QA by creating automated tests Is there an ongoing effort to create these tests Where can I learn more ",49
128,"I will be going to University soon and am looking for a tablet netbook on which I can use a stylus to write notes Chinese characters mostly  I have only found 2 netbooks with swivel screens and full keyboards that might work for me  One is the ASUS Eee PC T101MT and the other is a Gigabyte Touchnote   Does anyone know of tablets keyboardless that Ubuntu fully works on ",33
131,"Before I buy my next laptop I'd like to make sure that it will work perfectly with Ubuntu Is there a list of completely supported computers anywhere ",224
134,"How do  I create a desktop wallpaper slideshow with my own set of images   With the images coming from a pictures folder or pre selected With the images displayed in order or randomly With the images changing every few minutes or after random periods of time  ",424
142,"Does anyone know of a simple Image Editor with functionality comparable to PaintNET  for Ubuntu  I've always found GIMP to be overkill and too complicated for what I want to do ",101
152,"I know some other text editors like Notepad++ enable split pane to edit to files side by side  Is there any way I can add this functionality to Gedit ",27
154,"In the spirit of this question  Is there an indicator applet that tells me when I've received an email through any IMAP service If so where can I get it ",11
158,"I would like to be able to demo a UEC cloud at a presentation Is there a simple guide regarding the hardware I need and how I need to configure the UEC in order to create a nice presentation ",5
164,"When you install certain updates eg a new kernel in Ubuntu Desktop you get an indication that a reboot is required in Lucid the logout icon turns red  How can I check from the command line whether an Ubuntu server requires a reboot  I could grep for 'System restart required' in  etc motd but I'd like a solution that's more elegant  Also I want a solution that works in older releases eg Hardy 804 LTS ",354
167,"   Possible Duplicate   How to get my software into Ubuntu       I've created a Python application for Ubuntu How do I package it and submit it for possible inclusion in the universe repository ",15
174,"I'm currently install F manually by downloading the binary distribution from Microsoft downloading the Mono key running the Mono installer then fiddling with my path Is there a PPA with F packages that can make my life easier ",25
181,"How do you burn a DVD DL iso from the command line ",9
182,"I need to update firmware of my iPodTouch iPhone in Ubuntu and as I have jailbroken iPod Touch I need iTunes to install apps but unfortunately haven't found any ways to do that in Ubuntu yet I know that it is possible to use Virtualbox or Wine but still in the most of the times iTunes doesn't want to work on Wine and for Virtualbox I need to install again that Windows from which I switched into Ubuntu just a few months ago and don't want to go back to it  What do Linux users who have iPod TouchiPhone do in this case  Any suggestions to solve the problem will be pleased  And finallyhow long will it be before Apple develops iTunes for Linux OS   Thanks a lot ",41
193,"How can I change the Login screen theme Is there a graphical way or no ",72
194,"sudo apt get upgrade installs all updates not just security updates I know that I can use Update Manager to select only important security updates but is there a way to do this from the command line ",337
198,"   Possible Duplicate   What Media Players Are there       What video players do you recommend for ubuntu Is there any video player that supports good playback of 720p videos in oldish hardware ",30
205,"From System wide environment variables         etc environment   This file is specifically meant for system wide environment variable settings It is not a script file but rather consists of assignment expressions one per line Specifically this file stores the system wide locale and path settings       I'm looking for an ABNF and or a more detailed description of behaviour or anything that isn't forum hearsay really  If it's on Google it's eluding me ",18
209,"For example Avant Window Navigator Docky DockBarX and Cairo dock ",54
212,"I'm looking to install drivers for my Brother HL 2170W network printer I can't seem to find the correct driver on the Brother site Any help would be appreciated I'm running on Ubuntu 10041 LTS x86_64 ",10
218,"Is there a command to list services that run on startup I imagine it would involve parsing  etc initd  and the various  etc rc  directories ",108
219,"What license does Ubuntu fall into GPL MIT a mix Would it be legal to modify it and redistribute my modified version ",81
221,"To update my server I use apt get upgrade  But when there are kernel updates I always need to do apt get install linux  because apt get update does not install them  Is there a way I can tell it to install those too I tried  f but it does not work ",58
224,"I have my hard drive partitioned with two partitions so I can easily re install Ubuntu and try out different versions without losing my home directory data It is setup like this  20GB          root 180GB    home    I do a lot of development work so I have my  var www folder symlinking to  home valorin workspace But I want to do this with my MySQL data files as well as I am getting annoyed that each time I reinstall my machine I need to do a full SQLdump and then restore all the DB's before I can do more work  What is the best way to do this without breaking MySQL ",61
226,"I'm presently running Firefox 368 on Ubuntu 904 My Firefox extensions include Ubuntu Firefox Modifications 09rc2 I've upgraded Firefox on this install a few times as far as I can recall some version of this extension was present when I initially installed Ubuntu 904 I have disabled it mostly because I didn't know what it provided me nor was I able to find out when I tried a bit  What does the extension do  ",74
228,"I would like Ubuntu to automatically synchronize my system clock with a timeserver at startup  However my PC isn't connected to the Internet until after I've logged in plus 5   10 seconds for good measure  How can I set it to do this ",66
230,"I want to install adblock for Firefox and I see it is in Synaptic  Should I install it with Synaptic or the regular way with the Firefox add on manager Does it make any differences at all ",20
244,"I have installed Ubuntu on my new 133 inch 1280x800 MacBook Pro It works great but the fonts are kinda differently sized from the Mac programs and I am wondering if I need to change the DPI Looking at the Apple site doesn't tell me the DPI that this computer is ",8
247,"What partitioning scheme do you recommend for a desktop I've always created three or four primary partitions    root swap home and sometimes a separate boot partition Ubuntu's default install offers LVMs I've never had to add additional drives or space so it never seemed like a big deal Whenever I do a fresh install though I always think there might be a better way ",259
248,"Is there a way to easily turn on off showing the boot messages loading the services when Ubuntu starts Is it something in Grub2  I am running Lucid ",92
249,"What is the best way to sync music with my iPhone 3G ",17
253,"I have videos stored on one machine I'd like to watch them on another machine Both are running Ubuntu 1004 64 bit  So far I've tried MediaTomb MythTV and python coherence None of the clients seem to see the servers and I definitely have connectivity between the client and server machines so it's not a network issue ",17
256,"SSD drives need to be cleared reset after the drive fills up to maintain performance This is done through the TRIM command for new SSD drives Does Ubuntu support the TRIM command through hdparm etc for clearing resetting of these drives ",107
261,"Whenever I install Ubuntu there are certain applications I automatically install instead of using Ubuntu's default VLC comes to mind  My question is about how some software is chosen over others to a   Is it by the community  Is there a committee ",31
270,"I know of bugs where there is a fix available which has been posted upstream However the upstream maintainer hasn't responded to the patch or applied it to the project's source code  Would it be suitable to submit the fix for inclusion in Ubuntu and if so would I go about doing this ",21
276,"I have a Dell XPS M1330 running Kubuntu 1004   When I resume from suspend    I get the blank lockscreen I set up but I can't move my mouse it's in the upper left hand corner of the screen  The computer takes some time some toaster notifications flash above the screensaver for a second then hiding I hear the welcome back tones  I can move my mouse and log in   This whole process can take anywhere between 15 and 45 seconds Is there a way to figure out what is causing this delay and to hopefully resolve it  ",15
277,"Using lucid Kubunu Network Release every time I reboot some of my favourites are missing Do I have to log out in order to save them How can I do that without  logging out ",11
278,"This might not be an Ubuntu specific question  When I installed 910 I opted to encrypt my home folder using ecryptfs but then I discovered this locked me out of my ext3 partition when I tried to access it from Windows on my dual boot machine using some free ext2 3 driver that I got somewhere not even sure which one  Is there a way to mount an encrypted home folder in Windows ",20
279,"In the past I've gone hog wild customizing my Ubuntu installation only to be unable to upgrade it once the time came  So how does one go about customizing their install without running into issues upgrading  Is it possible to do so without relying solely on the Ubuntu repositories for software ",17
280,"I have a dual screen setup I have a notebook LCD and a 17 monitor plugged into the VGA port on the notebook  I have a GeForce 8400M GS video card with the NVidia 1953624 kernel module installed I also have Compiz installed and enabled  Here is the problem when I try to view a webpage that uses the Flash player the control is empty For controls that play sound I can actually hear the sound but I can't see anything  It works fine on the primary LCD monitor  Oh and I'm using Ubuntu 1004 64 bit ",9
282,"I've been running UNR on my eee 1000 pretty much since it came out over a year ago I was using easy peasy before that but I'm curious about the new Kubuntu netbook edition Ultimately KDE is better looking and has some really friendly software but I'm worried about performance   that display has got to be a processor hog and by association battery no  How much does Kubuntu netbook edition impact battery life ",14
283,"I manage a private network which has no internet connectivity due to the security policy of the customer This network has a single Ubuntu 1004 LTS Server installation soon to be several more and I've been trying to customise it with software   however I'm having to manually install packages with dpkg because of the lack of internet connectivity  Does this prevent me from upgrading to a newer version of Ubuntu Server LTS when it becomes available since the packags I've installed aren't ont he current distribution CD they're unlikely to be on the newer releases also ",41
287,"I'm using the System Monitor panel applet to show me graphs of current ram usage and network traffic However I want something like iStat Menu's text version of this  If I hover over my current app it shows that instant's traffic but does not update   Is there something that will display a number not graph of real time network traffic ",16
292,"If I'm editing two files with vim changing to the other file  bnext bprev  seems to drop the undo history from the open file   hitting the 'u' key reports Already at oldest change  For example   vim testfile1 testfile2 add some stuff to testfile1 w bn bp u eep can't undo   Is there any way to keep this history for non visible buffers ",58
297,"I have a bash script that runs as a cron to backup files on the server   bin bash FILE= path to backup_$date +%Y%m%dtar tar  cf $FILE  backup this  and that  and someotherfiles gzip $FILE   When I run the script directly using  sudo bash  backup filessh   It gzips the file but last night when the cron ran it left it as a tar Would the cron have saved a log somewhere that'd point to why this may be the case ",22
304,"F spot is great but does not have video support Picasa is arguably even better but although mov support is possible avi and mpeg support is unavailable  Is there a photo management app that can also work with videos   Thanks ",24
305,"What are the advantages of using Shotwell What are the disadvantages ",28
307,"I've added many PPAs using the add apt repository command Is there a simple way to remove these PPAs I've checked in  etc apt sourceslist for the appropriate deb lines but they aren't there   This is on a server system so a command line solution would be great ",1275
312,"A quick Google found this page about how to upgrade but my question is how do I make sure all configurations remain intact Samba Apache SVN and also is it worth it to upgrade Will 910 continue to have bugfixes security updates and the like released to it via the package managers ",17
315,"In an effort to keep things consistent I've been slowly but surely replacing CentOS and  BSD servers with Ubuntu Lucid I've come across a few that I'll have problems migrating in particular several Trixbox CE servers that are based on CentOS  We'd like to bring everything we have under one management roof either by using Landscape or something similar that we nail together in house  Is there something like Trixbox that will work on Ubuntu Either Asterisk or Freeswitch preferably pre packaged by a vendor in deb format I dug through Launchpad PPA's in hopes of finding a port of either but I did not find anything  Any suggestions ",10
320,"I really would like to create a package for php 533 and then make a ppa for it I would like the php fpm support but inside the newest release however this question goes further than this  I would like to be hand walked through the whole process of compiling and packaging for ubuntu as I do have an intrest in the whole MOTU project but I feel a little bit out of my depth at the moment ",12
324,"I have the last version of Chrome 50xx and my Ubuntu is also of the last version 1004 What I usually do is to open two instances of Chrome and divide the screen into two parts In one part my son watches cartoons in Youtube and in the other part I just read some news   So sometimes when I close some pages of the news I have being read the video which was being played in youtube crashes and immediately stops I need to refresh youtube page and see the video again   What is the problem How to solve it ",23
326,"To be honest I didn't like how keyrings work in Ubuntu and removed them completely   Is my action safe and won't it harm any part of the system ",10
327,"   This question is not deleted because it has historical significance but it is   not considered a good on topic question for this site so please do   not use it as evidence that you can ask similar questions here      More information http  askubuntucom faq   The title says for itself  There are a lot of interesting new features in Ubuntu For example after migrating into Ubuntu the most interesting feature for me was Centralized application installation via Synaptic users do not need to search for an application download it from somewhere install it and if it is pirated software to search keygens and stuffs like that  What else could be added to the list ",191
339,"I have no root access on this machine  I would like to know if there is a way I can download Ubuntu packages and install them as non root  Probably in my ~ bin or ~ usr share or something like that Would that work ",114
343,"I once tested Mac OS X and something that called my atention was Automator a software to visually create scripts to automatize tasks on the desktop Is there any Linux alternative for this software ",34
348,"When Ubuntu 104 was in alpha stage there was pyjamas package which didn't work I posted a bug on launchpad and the only resolution was removing this package altogether  Does anyone know how to easily install pyjamas on Ubuntu 104 I tried downloading debs from debian repositories but there were some broken dependencies ",15
352,"I've used rdesktop in the past  Is there something better ",62
353,"I know I can edit gconf to move the MinimizeMaximizeClose buttons back to the right hand side but is there a way to do this for all users  Ideally at install time so I don't have to explain this to every user every time I set up a new machine ",26
358,"Currently I use the character palette applet in gnome panel to put special characters into text  This is okay but I have to stop typing select the character I want from the applet and then copy and paste  Is there a way to simply type special characters with different key combinations If so how do I do it ",123
365,"I've upgraded Ubuntu on my laptop all the way from 704 to 1004 without ever wiping the disk I have a sneaking suspicion that means I have a bunch of crufty packages that I don't use and that are just taking up disk Is there any way to get a list of all the packages included that are beyond the base install ",53
367,"Every time I click on the application or system menus I notice that no icons show up for a second then they page in Is there some way to explicitly tell Ubuntu to cache this My SuSE GNOME desktop doesn't have this problem but I don't know whether that's because they're doing something custom or because it's a setting I'm missing ",12
369,"What's the general rule for when to install a package from the official deb repositories versus when to install with the language's package manager The ones in the upstream repositories are frequently at least slightly out of date but I also don't want to have my packages colliding with the official ones and it seems that aptitude is going to force me to install the official ones in many cases anyway ",18
370,"   Possible Duplicate   Remote Desktop similar to Teamviewer       I'm used to being able to help my parents through iChat screen sharing on OS X and Remote Assistance on Windows Is there something that has the same workflow no setup works through NATs and firewalls available for Ubuntu I'd be very nervous about migrating them to Ubuntu without the ability to help them remotely ",24
374,"I have all of them locked to the panel but they keep moving around upon logging out and back in  So for example sometimes the Indicator Applet Session is farthest to the right but sometimes the Clock Calendar is and occasionally the Notification Area is  This is a small issue but annoying ",33
375,"Currently I can change themes and icons through the Appearance dialog but this leaves things like the Skype Dropbox and Firestarter icons in the notification area unchanged  Where are these stored  How do I change them ",8
386,"   Possible Duplicate   How to migrate user settings and data to new machine       I'll be setting up 1004 on three computers and don't want to go through and manually download and configure all the same stuff x3 as well as selecting all my Appearance and Windows Manager settings x3  Surely there's a way to produce a script once I've done the configuring once that I can then run on the second and third computers thus saving me all that time ",21
395,"How can I reset my keyboard layout after modifying it with xkbcomp Is there a way to do this without restarting X ",21
400,"   This question is present as a matter of historical interest  While you are encouraged to help maintain its answers please understand that big list questions are not generally allowed on Ask Ubuntu and will be closed per the FAQ   It is possible to greatly extend the usage time of a laptop or netbook running on battery by disabling various services and installing various packages   What tricks or tips do people have for getting an extra hour or two out of their batteries ",442
405,"When I insert a thumb drive media card or USB hard drive to unmount it via the command line I need to use  sudo umount  media the_device   But I can unmount the device in a file manager like nautilus simply by clicking the eject button or using the right click context menu on the device  What is the rationale for the difference How can I change it so that I can unmount from the command line without needing root privileges Is changing it a bad idea   Edit In case it has changed I am running 904 I've run most versions 510  904 and as far as I recall it has always been this way ",65
406,"My laptop's keyboard has keys that don't do anything when I press them  How would I enable the keys and add functionality to them  For example the mute key doesn't do anything at the moment ",16
417,"I want to have both KDE and Gnome shells on Ubuntu Ubuntu has Gnome by default How do I install KDE ",56
422,"What book would you recommend as a reference for Ubuntu server administration  I'd like to not limit this to server edition I'm biased toward development environments that need to strike a balance somewhere between desktop &amp server  One book per answer please   vote answers up down as you feel appropriate If you feel the book is biased towards good for particular tasks please mention them ",26
424,"What does Ubuntu mean and why did they choose that particular name ",100
426,"   Possible Duplicate   How to install MS Internet Explorer 7 8 or 9       Is it possible to get IE8 running in Ubuntu It seems quite feasible to me as I had gotten IE7 to run via Wine awhile back after reading a blog tutorial However for some reason that seems to be broken now and I'd like to upgrade it anyway in order to test my web development endeavors more thoroughly ",12
427,"There are several programs only available on Windows   Wine can be a negative experience so I want to run Windows inside Ubuntu using a virtual machine It seems that Virtualbox is the standard way but I don't have any experience with it ",122
442,"I use Thunderbird instead of Evolution for my mail client so I'd prefer if I could replace Evolution with Thunderbird in the messaging component of the Indicator applet  Does anyone know how to do this ",65
443,"I want to install a package DigiKam but it has a lot of dependencies If I decide I no longer need this software and uninstall it will the now unnessary dependencies be removed  If not how can I do it manually ",99
447,"Is there a way I can see all the versions that are in the archives that I have configured in sourceslist I can see the last version of each archive with apt get policy but how can I see all  Is there any way that this can also include ppa and anything in sourceslistd ",148
454,"I've been manually applying patches to Wine for use on my own machine but I want to put it in a PPA for my friends and relations  Currently I follow this procedure   Get the latest source from an upstream PPA via apt get source Use patch to apply my unofficial unsupported patches Create a package using dpkg buildpackage  rfakeroot  uc  b   This is fine for creating a package that will run on my local machine However I now want to distribute this custom build to others via a PPA  Is this procedure sufficient or is there a more correct and or easier to maintain procedure I should be following specifically for Wine ",36
456,"How do I make Evolution keep checking my emails and notifying in the indicator applet without keeping the main UI open ",18
459,"Is there anything simular to Eyefinity for Ubuntu  More the idea of turning 3 smaller monitors into one big monitor  Thanks ",8
460,"I have a Xubuntu Lucid 1004 computer plugged in to my TV I use the command line to administrate it  Right now when I hit the power button it just opens a Logout screen  How can I set it up so that I can shut it down by hitting the power button I know it has something to do with acpi or acpid  I want answers to be command line only as I do not have any keyboard or mouse connected to that computer    Edit  Isn't there a way to modify the default behavior of the xfce4 power manager when pushing the power button  Also instead of using the GUI to do so can I do it by creating modifying a configuration file  jbowtie had an interesting answer but I cannot find the xfce4 power managerxml file If someone knows where to find that file or how to create it I would be interested ",26
